,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
9438,1,1.08,0.28,0.0,2.1,4.484085650363543,4.162514688142419,5.021366061182642,-5.544104806153589,4.240030951999068,1.304966641388872,-0.1385760355733424,94.71575301368999,1914.6219979022574,0.0005366765718170396,0.006404672042244486,0.0181,0.013155354006104299,5.544104806153589
13592,2,1.11,0.28,0.0,2.1,5.018477589163979,5.88980977530411,4.8147557497222335,2.3863490557332967,4.109585576038377,1.5371170192741404,-0.14667104533151518,75.48862887111835,1417.9957339081561,0.00038588090774646617,0.0022801719145097987,0.0181,0.01291241660194173,2.3863490557332967
13301,1,0.9,0.28,0.0,2.1,10.089890560784921,5.1716528147228615,11.034172315856123,0.04417713651319441,4.326347805999946,1.0786088978450123,-0.10560723264976207,115.23224907882697,2411.293645196627,0.0005167213456999518,0.004733267544911712,0.0181,0.01419290651588455,0.04417713651319441
18979,1,0.92,0.28,0.0,2.1,4.5818542935025794,2.242201786959866,10.10470156321042,0.26095072807714553,4.479288571905167,0.9145223095005348,-0.05587026731856624,148.5855838784581,3429.5382438242987,0.0001875615583087178,0.0026834578815204957,0.0181,0.015915061000217504,0.26095072807714553
8664,1,1.11,0.28,0.0,2.1,4.345361984872762,4.643116158944328,4.8147557497222335,-0.17718912707994602,4.20020598998272,1.3851703000509403,-0.151783314431337,87.86967439904646,1748.6636488543757,0.0004306839716634034,0.0035667486852535846,0.0181,0.012761310049426548,0.17718912707994602
14783,2,1.11,0.28,0.0,2.1,4.9354553351641615,5.719541834022127,4.8147557497222335,0.14813057811938157,4.119079801264027,1.5204794016113554,-0.14668052253949435,76.69461630853459,1448.023431652485,0.0005105276384692268,0.0031219075995125856,0.0181,0.012912134829256293,0.14813057811938157
12454,1,0.8,0.28,0.0,2.1,0.9733670593412496,1.110120021655466,17.621887873516183,-0.3269539529077227,4.620637999975063,0.7247207068160076,-0.008081917467780116,196.2964224586612,5025.282232220848,0.0002759919727809719,0.003523632091809035,0.0181,0.017766286341196053,0.3269539529077227
13391,1,0.81,0.28,0.0,2.1,14.145549410264087,4.8819882236868155,16.79171875512362,0.6722023680986303,4.407396588467002,0.9321566279711764,-0.11186526016843756,136.0489808376927,2973.2676722201268,0.0003661601699411511,0.0030168706203026474,0.0181,0.013989858269519899,0.6722023680986303
4431,1,0.94,0.28,0.0,2.1,9.244176995912698,5.817031685780773,9.244176995912698,-0.23919960170439555,4.257811622185035,1.1925181852763358,-0.10272399664494727,101.44104856481579,2044.2518163346995,0.0005049894828406193,0.0036234050510520754,0.0181,0.014287445218735708,0.23919960170439555
9378,1,0.87,0.28,0.0,2.1,5.276240404285077,2.140785328949501,12.671148526688686,-0.05803258474409556,4.51926583468692,0.8493200676492879,-0.05313058190538693,161.44648033151782,3820.2961648313953,0.0002061158962793903,0.0026814624662278297,0.0181,0.01601577625518358,0.05803258474409556
14263,1,1.0,0.28,0.0,2.1,5.614580772225226,3.823308004690071,7.086683378199176,0.23685017113088536,4.319346229735025,1.1462294480828341,-0.10384035927771934,110.7137160628842,2325.7954165148635,0.00017097977927852165,0.002055067128517163,0.0181,0.014250766217920555,0.23685017113088536
8990,1,1.1,0.28,0.0,2.1,4.18667575722916,4.178703415691186,4.961535200625608,-2.1562887250365157,4.228490045766424,1.3347379120772758,-0.15243844061786346,92.36633380197641,1863.0870905293275,0.0005031797465513238,0.004312519820144911,0.0181,0.012742074332094969,2.1562887250365157
15333,2,1.11,0.28,0.0,2.1,5.050990425462284,5.957862364151835,4.8147557497222335,2.0588465719436657,4.105765483441453,1.5438628402285035,-0.14666378494776014,75.00853317140948,1406.0875760918625,0.00038127602952058416,0.0022214979487487074,0.0181,0.012912632469025652,2.0588465719436657
8228,1,1.1,0.28,0.0,2.1,2.3140584542866307,2.2042555377391992,4.961535200625608,0.3101336600007584,4.343290631684746,1.1694878210004596,-0.09678876554515296,112.14053616806689,2410.0177673045027,0.0001412305854735274,0.0023171712583311965,0.0181,0.01448404312841663,0.3101336600007584
3849,2,0.8,0.28,0.0,2.1,21.182081436912554,9.712365937425036,17.621887873516183,-0.10886933372840062,3.810903896534058,1.838038610915752,-0.033015284061050934,48.795999115662184,793.2929209915545,0.0006435186800862488,0.00022346584095123134,0.0181,0.01677502943166426,0.10886933372840062
1626,1,1.02,0.28,0.0,2.1,5.857099646933,4.50637101963024,6.4924266393488015,0.4190072838530668,4.267032646919457,1.2293924440625923,-0.1155363908402497,100.77702326754196,2057.623746367691,0.0005343778359343064,0.005756100207646664,0.0181,0.013872099143351035,0.4190072838530668
3932,1,1.03,0.28,0.0,2.1,5.255312671624328,4.057339421572163,6.227122736152007,-0.3227874632418224,4.283354693225662,1.2125117124919838,-0.11847669618223194,103.30830393407923,2131.496589894753,0.00020138980812244668,0.002228252889610316,0.0181,0.013778498036916323,0.3227874632418224
10319,1,1.13,0.28,0.0,2.1,2.015057996001476,2.1404589724528345,4.562857433789538,-0.29614626938400956,4.325738147204318,1.2095249317808818,-0.11452965950819576,107.82532884270479,2302.0804136619336,0.0001475572171244253,0.002351518888045523,0.0181,0.013904293141949284,0.29614626938400956
7452,1,1.12,0.28,0.0,2.1,3.901784582084868,4.1602010293947895,4.693988360961042,-0.531926876382679,4.215490388418958,1.3671258458769815,-0.1652804584268999,89.86137959459862,1804.1340418570667,0.0005779506942444194,0.0046636347913529,0.0181,0.012370809421933636,0.531926876382679
12821,1,1.2,0.28,0.0,2.1,2.6026195100510114,3.418763304977993,3.782354398433177,-1.1880205785545561,4.1989294174061165,1.4423497746692493,-0.26443285710368875,84.92542353443318,1711.2939953846412,0.0006498767022524032,0.005306076303008889,0.0181,0.009845680030590196,1.1880205785545561
5878,2,0.96,0.28,0.0,2.1,10.692188605750962,9.014652926875547,8.459324558709586,-0.2851957360957985,3.965174384908405,1.6862073719073405,-0.04160645974946283,61.46590284859935,1071.1573570705934,0.0013035916309695993,0.0009411527988003598,0.0181,0.016446447957836296,0.2851957360957985
13425,1,1.17,0.28,0.0,2.1,2.8238165689068904,3.368325435056742,4.091309808430505,-0.3478920850273439,4.221239252092887,1.3880911379172196,-0.21818568500848068,89.1804904271859,1807.809255954936,0.0005037195792622898,0.004729575568484745,0.0181,0.010951986249558086,0.3478920850273439
4887,2,1.19,0.28,0.0,2.1,4.628705134098227,8.331059705029526,3.8794280795262175,3.112745720703984,3.8797181896659936,2.072647094321495,-0.05954128932543613,50.34038419706821,845.5950084716351,0.0022027608810944914,0.003134701806004836,0.0181,0.015781100498263298,3.112745720703984
18325,1,0.98,0.28,0.0,2.1,6.163668305901037,3.9223634017431923,7.729886802681186,0.10344432919620289,4.329771293793838,1.1211715467875465,-0.10016835773726107,113.31128146580768,2391.0705996293964,0.00018394517678914837,0.0021497430669123463,0.0181,0.014371768637166478,0.10344432919620289
4512,1,0.87,0.28,0.0,2.1,11.872981007215555,5.54472161439952,12.671148526688686,0.4200098944102486,4.329483171433415,1.0565944663713922,-0.10724062645548033,116.86505536055859,2444.210945724103,0.0004582810886761997,0.0036909557760942957,0.0181,0.014139626849809354,0.4200098944102486
15576,2,0.85,0.28,0.0,2.1,15.000964669038074,7.3368805554231304,13.910367845083716,0.15572247020334828,4.230810483796305,1.169433809420608,-0.0995460588593908,99.54007449051441,1959.1846119113352,0.0002642488711336596,0.0010620781182371086,0.0181,0.014392376649722642,0.15572247020334828
6898,1,1.16,0.28,0.0,2.1,2.771278585147586,3.1719754313426543,4.199255540080211,-0.8565556593693483,4.238557533802378,1.3548615076839103,-0.20164354629579465,92.11600924514376,1881.802471199932,0.00045071564951563515,0.004604773675217111,0.0181,0.011377190462984773,0.8565556593693483
3737,2,1.03,0.28,0.0,2.1,8.392234350188643,9.360597115397372,6.227122736152007,-0.27005563460516396,3.8525116786649938,1.9880775996116329,-0.02172115283565494,49.545524040539,838.8942264596457,0.0011583909190523204,0.0005134521912810719,0.0181,0.017216997723145226,0.27005563460516396
17842,2,1.2,0.28,0.0,2.1,3.9559977538980986,6.478645752816943,3.782354398433177,-0.4870426379382309,4.005597365097514,1.8015195723534576,-0.17177844672879064,61.5140005937324,1107.0075551314644,0.000309759719542004,0.0011293521116411132,0.0181,0.012187093080944789,0.4870426379382309
6186,1,0.93,0.28,0.0,2.1,6.531837303111048,3.310047784186205,9.661852852265543,-0.6693311313336631,4.40544642168809,1.0010665274004131,-0.08265924287324514,130.68822834675615,2876.705662397303,0.0002073232453440864,0.0025787116842681534,0.0181,0.014963022603609513,0.6693311313336631
12368,1,0.95,0.28,0.0,2.1,6.0903577975518175,3.338286800192392,8.823142337632476,-0.26136281644532994,4.387728836420294,1.032623635126718,-0.08482871015310169,126.09005831810043,2749.142745543911,0.00020046633584206905,0.002537245457969628,0.0181,0.014888462956635436,0.26136281644532994
2527,2,0.97,0.28,0.0,2.1,10.603240873871332,9.629107443240171,8.094449821985704,0.4175940899108636,3.790145697224506,2.0728423629689283,-0.01900829175694492,44.88957896718798,742.314904623601,0.001198306582979401,0.0005387246495331954,0.0181,0.017324881912388002,0.4175940899108636
18012,1,1.11,0.28,0.0,2.1,0.06896974839498142,1.0246690678647212,4.8147557497222335,-0.803921398186271,4.444183111421974,1.0459588776680881,-0.0021157478118069488,132.9152213303545,3039.272494239762,0.00018384066058147556,0.001729106359959428,0.0181,0.018012036860883405,0.803921398186271
2058,2,0.87,0.28,0.0,2.1,15.960887585293962,10.0,12.671148526688686,-0.2655542590294205,3.5974790588791308,2.4500466518262427,-0.013896466588174023,32.72432412672793,485.40612692813653,0.0006288495178639482,0.0001934688501121773,0.0181,0.01753000775750735,0.2655542590294205
15867,1,1.15,0.28,0.0,2.1,2.481542843631663,2.7201302036939286,4.31297783662831,-0.06525455954311765,4.272325755125139,1.2975697707991256,-0.17169011306622506,97.81244111356042,2032.2747978917469,0.0004236351304816184,0.005366910316848661,0.0181,0.012189572136288658,0.06525455954311765
204,1,0.85,0.28,0.0,2.1,8.615366204142868,3.141096202544094,13.910367845083716,0.31436813413974163,4.474106830930205,0.8843022379302218,-0.07982735180006369,150.4826718392096,3445.611107093372,0.00024377893528274272,0.002735616148112574,0.0181,0.015060910338730863,0.31436813413974163
4831,1,1.2,0.28,0.0,2.1,2.5831758949056556,3.387510204784122,3.782354398433177,-0.9425644495197743,4.2005941619286205,1.4395880030713122,-0.26446691270934425,85.1824704290347,1717.4785061649634,0.0005595036043163202,0.004819966223533201,0.0181,0.009844908002704988,0.9425644495197743
7747,1,1.11,0.28,0.0,2.1,4.50211432218263,4.9075382246797234,4.8147557497222335,-0.643748150269737,4.18736342744896,1.4058029566384571,-0.14889176188851794,86.01185895495001,1699.5532785647306,0.00019762506047450934,0.0018650965626833549,0.0181,0.012846558916466883,0.643748150269737
12318,1,1.03,0.28,0.0,2.1,1.2293002529398631,1.3876412828025388,6.227122736152007,-0.08228220450649353,4.462471720278756,0.9865689182047801,-0.027130318480351457,140.06029853443852,3222.0969983012187,0.0001566505991518498,0.0029926447617925067,0.0181,0.017003888809068415,0.08228220450649353
11904,1,0.99,0.28,0.0,2.1,2.2065838297735763,1.661881591660472,7.406038867892791,-0.07494759532243239,4.469158658076882,0.9598048606676652,-0.03792641471720178,143.1940273847849,3299.2580787961024,0.00016486956478187846,0.0028592864818101082,0.0181,0.016586400972793784,0.07494759532243239
